timestamp,materialId,materialName,siteId,siteName,stockLevel,consumption,hourOfDay,dayOfWeek,weather,projectType,siteActivityLevel,daysUntilOutOfStock
2024-01-01T00:00:00Z,MAT007,Parpaings,SITE005,Chantier Centre,1200,0,0,1,windy,commercial,low,999
2024-01-01T01:00:00Z,MAT002,Sable de construction,SITE002,Chantier Sud,2000,0,1,1,snowy,commercial,low,999
2024-01-01T02:00:00Z,MAT009,Isolant thermique,SITE005,Chantier Centre,600,0,2,1,sunny,commercial,low,999
2024-01-01T03:00:00Z,MAT009,Isolant thermique,SITE002,Chantier Sud,600,0,3,1,stormy,commercial,low,999
2024-01-01T04:00:00Z,MAT010,Plâtre,SITE003,Chantier Est,400,0,4,1,sunny,industrial,low,999
2024-01-01T05:00:00Z,MAT001,Ciment Portland,SITE004,Chantier Ouest,1000,0,5,1,cloudy,residential,low,999
2024-01-01T06:00:00Z,MAT008,Tuiles,SITE002,Chantier Sud,798,2,6,1,stormy,commercial,low,15.83
2024-01-01T07:00:00Z,MAT005,Béton prêt à l'emploi,SITE003,Chantier Est,1485,15,7,1,snowy,industrial,medium,4.1
2024-01-01T08:00:00Z,MAT009,Isolant thermique,SITE003,Chantier Est,584,16,8,1,cloudy,industrial,high,1.51
2024-01-01T09:00:00Z,MAT009,Isolant thermique,SITE003,Chantier Est,587,13,9,1,windy,industrial,high,1.87
2024-01-01T10:00:00Z,MAT005,Béton prêt à l'emploi,SITE001,Chantier Nord,1468,32,10,1,cloudy,residential,high,1.91
2024-01-01T11:00:00Z,MAT009,Isolant thermique,SITE004,Chantier Ouest,574,26,11,1,snowy,residential,high,0.92
2024-01-01T12:00:00Z,MAT007,Parpaings,SITE005,Chantier Centre,1183,17,12,1,sunny,commercial,medium,2.88
2024-01-01T13:00:00Z,MAT004,Acier de construction,SITE005,Chantier Centre,778,22,13,1,snowy,commercial,high,1.47
2024-01-01T14:00:00Z,MAT005,Béton prêt à l'emploi,SITE004,Chantier Ouest,1461,39,14,1,rainy,residential,high,1.56
2024-01-01T15:00:00Z,MAT003,Briques rouges,SITE003,Chantier Est,4846,154,15,1,rainy,industrial,high,1.31
2024-01-01T16:00:00Z,MAT010,Plâtre,SITE003,Chantier Est,377,23,16,1,snowy,industrial,high,0.68
2024-01-01T17:00:00Z,MAT005,Béton prêt à l'emploi,SITE002,Chantier Sud,1492,8,17,1,sunny,commercial,medium,7.67
2024-01-01T18:00:00Z,MAT002,Sable de construction,SITE003,Chantier Est,1999,1,18,1,windy,industrial,low,75.72
2024-01-01T19:00:00Z,MAT010,Plâtre,SITE005,Chantier Centre,400,0,19,1,sunny,commercial,low,999
2024-01-01T20:00:00Z,MAT009,Isolant thermique,SITE002,Chantier Sud,600,0,20,1,windy,commercial,low,999
2024-01-01T21:00:00Z,MAT010,Plâtre,SITE001,Chantier Nord,395,5,21,1,cloudy,residential,low,3.23
2024-01-01T22:00:00Z,MAT009,Isolant thermique,SITE002,Chantier Sud,600,0,22,1,stormy,commercial,low,999
2024-01-01T23:00:00Z,MAT001,Ciment Portland,SITE005,Chantier Centre,1000,0,23,1,cloudy,commercial,low,999
2024-01-02T00:00:00Z,MAT003,Briques rouges,SITE001,Chantier Nord,3800,0,0,2,rainy,residential,low,999
2024-01-02T01:00:00Z,MAT004,Acier de construction,SITE001,Chantier Nord,648,2,1,2,snowy,residential,low,12.86
2024-01-02T02:00:00Z,MAT003,Briques rouges,SITE003,Chantier Est,3798,2,2,2,sunny,industrial,low,75.36
2024-01-02T03:00:00Z,MAT002,Sable de construction,SITE003,Chantier Est,1550,0,3,2,snowy,industrial,low,999
2024-01-02T04:00:00Z,MAT001,Ciment Portland,SITE004,Chantier Ouest,750,0,4,2,snowy,residential,low,999
2024-01-02T05:00:00Z,MAT010,Plâtre,SITE005,Chantier Centre,259,1,5,2,windy,commercial,low,9.81
2024-01-02T06:00:00Z,MAT001,Ciment Portland,SITE005,Chantier Centre,750,0,6,2,sunny,commercial,low,999
