timestamp,materialId,materialName,siteId,siteName,expectedConsumption,actualConsumption,deviation,hourOfDay,dayOfWeek,weather,projectType,siteActivityLevel,isAnomaly,anomalyType,anomalySeverity
2024-01-01T00:00:00Z,MAT007,Parpaings,SITE001,Chantier Nord,0,0,0,0,1,stormy,residential,low,1,THEFT,MEDIUM
2024-01-01T01:00:00Z,MAT006,Gravier,SITE003,Chantier Est,0,0,0,1,1,stormy,industrial,low,1,WASTE,MEDIUM
2024-01-01T02:00:00Z,MAT006,Gravier,SITE005,Chantier Centre,0,0,0,2,1,stormy,commercial,low,1,OVER_CONSUMPTION,LOW
2024-01-01T03:00:00Z,MAT003,Briques rouges,SITE005,Chantier Centre,0,0,0,3,1,windy,commercial,low,0,NONE,NONE
2024-01-01T04:00:00Z,MAT003,Briques rouges,SITE001,Chantier Nord,0,0,0,4,1,snowy,residential,low,0,NONE,NONE
2024-01-01T05:00:00Z,MAT004,Acier de construction,SITE004,Chantier Ouest,0,0,0,5,1,stormy,residential,low,0,NONE,NONE
2024-01-01T06:00:00Z,MAT004,Acier de construction,SITE004,Chantier Ouest,0,0,0,6,1,snowy,residential,low,0,NONE,NONE
2024-01-01T07:00:00Z,MAT008,Tuiles,SITE005,Chantier Centre,5,5,0.0,7,1,snowy,commercial,medium,0,NONE,NONE
2024-01-01T08:00:00Z,MAT005,Béton prêt à l'emploi,SITE004,Chantier Ouest,45,44,-2.22,8,1,stormy,residential,high,0,NONE,NONE
2024-01-01T09:00:00Z,MAT008,Tuiles,SITE004,Chantier Ouest,18,17,-5.56,9,1,stormy,residential,high,0,NONE,NONE
2024-01-01T10:00:00Z,MAT008,Tuiles,SITE005,Chantier Centre,16,15,-6.25,10,1,snowy,commercial,high,0,NONE,NONE
2024-01-01T11:00:00Z,MAT009,Isolant thermique,SITE003,Chantier Est,22,21,-4.55,11,1,snowy,industrial,high,0,NONE,NONE
2024-01-01T12:00:00Z,MAT001,Ciment Portland,SITE005,Chantier Centre,13,12,-7.69,12,1,windy,commercial,medium,0,NONE,NONE
2024-01-01T13:00:00Z,MAT005,Béton prêt à l'emploi,SITE001,Chantier Nord,30,29,-3.33,13,1,sunny,residential,high,0,NONE,NONE
2024-01-01T14:00:00Z,MAT009,Isolant thermique,SITE003,Chantier Est,22,21,-4.55,14,1,snowy,industrial,high,0,NONE,NONE
2024-01-01T15:00:00Z,MAT007,Parpaings,SITE001,Chantier Nord,28,29,3.57,15,1,sunny,residential,high,0,NONE,NONE
2024-01-01T16:00:00Z,MAT001,Ciment Portland,SITE002,Chantier Sud,27,61,125.93,16,1,windy,commercial,high,1,THEFT,HIGH
2024-01-01T17:00:00Z,MAT006,Gravier,SITE001,Chantier Nord,24,22,-8.33,17,1,sunny,residential,medium,0,NONE,NONE
2024-01-01T18:00:00Z,MAT008,Tuiles,SITE005,Chantier Centre,0,0,0,18,1,snowy,commercial,low,1,WASTE,MEDIUM
2024-01-01T19:00:00Z,MAT003,Briques rouges,SITE003,Chantier Est,0,0,0,19,1,windy,industrial,low,0,NONE,NONE
2024-01-01T20:00:00Z,MAT005,Béton prêt à l'emploi,SITE004,Chantier Ouest,0,0,0,20,1,stormy,residential,low,0,NONE,NONE
2024-01-01T21:00:00Z,MAT005,Béton prêt à l'emploi,SITE004,Chantier Ouest,0,0,0,21,1,windy,residential,low,0,NONE,NONE
2024-01-01T22:00:00Z,MAT003,Briques rouges,SITE002,Chantier Sud,0,0,0,22,1,sunny,commercial,low,0,NONE,NONE
2024-01-01T23:00:00Z,MAT010,Plâtre,SITE001,Chantier Nord,0,0,0,23,1,snowy,residential,low,1,WASTE,LOW
2024-01-02T00:00:00Z,MAT004,Acier de construction,SITE004,Chantier Ouest,0,0,0,0,2,sunny,residential,low,0,NONE,NONE
2024-01-02T01:00:00Z,MAT009,Isolant thermique,SITE004,Chantier Ouest,0,0,0,1,2,stormy,residential,low,0,NONE,NONE
2024-01-02T02:00:00Z,MAT008,Tuiles,SITE002,Chantier Sud,0,0,0,2,2,snowy,commercial,low,1,WASTE,MEDIUM
2024-01-02T03:00:00Z,MAT006,Gravier,SITE002,Chantier Sud,0,0,0,3,2,rainy,commercial,low,0,NONE,NONE
2024-01-02T04:00:00Z,MAT003,Briques rouges,SITE004,Chantier Ouest,0,0,0,4,2,windy,residential,low,0,NONE,NONE
2024-01-02T05:00:00Z,MAT001,Ciment Portland,SITE004,Chantier Ouest,0,0,0,5,2,sunny,residential,low,0,NONE,NONE
2024-01-02T06:00:00Z,MAT006,Gravier,SITE002,Chantier Sud,0,0,0,6,2,stormy,commercial,low,0,NONE,NONE
2024-01-02T07:00:00Z,MAT006,Gravier,SITE005,Chantier Centre,33,31,-6.06,7,2,snowy,commercial,medium,0,NONE,NONE
2024-01-02T08:00:00Z,MAT004,Acier de construction,SITE002,Chantier Sud,22,21,-4.55,8,2,stormy,commercial,high,0,NONE,NONE
2024-01-02T09:00:00Z,MAT002,Sable de construction,SITE005,Chantier Centre,62,63,1.61,9,2,snowy,commercial,high,0,NONE,NONE
2024-01-02T10:00:00Z,MAT009,Isolant thermique,SITE001,Chantier Nord,24,25,4.17,10,2,stormy,residential,high,0,NONE,NONE
2024-01-02T11:00:00Z,MAT004,Acier de construction,SITE005,Chantier Centre,16,15,-6.25,11,2,windy,commercial,high,0,NONE,NONE
2024-01-02T12:00:00Z,MAT001,Ciment Portland,SITE002,Chantier Sud,17,15,-11.76,12,2,snowy,commercial,medium,0,NONE,NONE
2024-01-02T13:00:00Z,MAT007,Parpaings,SITE001,Chantier Nord,42,39,-7.14,13,2,stormy,residential,high,0,NONE,NONE
2024-01-02T14:00:00Z,MAT004,Acier de construction,SITE002,Chantier Sud,16,15,-6.25,14,2,cloudy,commercial,high,0,NONE,NONE
2024-01-02T15:00:00Z,MAT006,Gravier,SITE002,Chantier Sud,80,77,-3.75,15,2,sunny,commercial,high,0,NONE,NONE
2024-01-02T16:00:00Z,MAT008,Tuiles,SITE003,Chantier Est,15,13,-13.33,16,2,rainy,industrial,high,0,NONE,NONE
2024-01-02T17:00:00Z,MAT002,Sable de construction,SITE002,Chantier Sud,13,11,-15.38,17,2,sunny,commercial,medium,0,NONE,NONE
2024-01-02T18:00:00Z,MAT007,Parpaings,SITE004,Chantier Ouest,0,0,0,18,2,cloudy,residential,low,1,THEFT,HIGH
2024-01-02T19:00:00Z,MAT001,Ciment Portland,SITE001,Chantier Nord,0,0,0,19,2,windy,residential,low,1,OVER_CONSUMPTION,LOW
2024-01-02T20:00:00Z,MAT008,Tuiles,SITE004,Chantier Ouest,0,0,0,20,2,snowy,residential,low,0,NONE,NONE
2024-01-02T21:00:00Z,MAT003,Briques rouges,SITE001,Chantier Nord,0,0,0,21,2,stormy,residential,low,1,WASTE,LOW
2024-01-02T22:00:00Z,MAT002,Sable de construction,SITE005,Chantier Centre,0,0,0,22,2,windy,commercial,low,0,NONE,NONE
2024-01-02T23:00:00Z,MAT003,Briques rouges,SITE002,Chantier Sud,0,0,0,23,2,snowy,commercial,low,0,NONE,NONE
2024-01-03T00:00:00Z,MAT004,Acier de construction,SITE003,Chantier Est,0,0,0,0,3,sunny,industrial,low,0,NONE,NONE
2024-01-03T01:00:00Z,MAT007,Parpaings,SITE003,Chantier Est,0,0,0,1,3,rainy,industrial,low,0,NONE,NONE
2024-01-03T02:00:00Z,MAT005,Béton prêt à l'emploi,SITE004,Chantier Ouest,0,0,0,2,3,stormy,residential,low,0,NONE,NONE
2024-01-03T03:00:00Z,MAT005,Béton prêt à l'emploi,SITE001,Chantier Nord,0,0,0,3,3,cloudy,residential,low,0,NONE,NONE
2024-01-03T04:00:00Z,MAT006,Gravier,SITE003,Chantier Est,0,0,0,4,3,snowy,industrial,low,0,NONE,NONE
2024-01-03T05:00:00Z,MAT005,Béton prêt à l'emploi,SITE002,Chantier Sud,0,0,0,5,3,sunny,commercial,low,0,NONE,NONE
2024-01-03T06:00:00Z,MAT008,Tuiles,SITE001,Chantier Nord,0,0,0,6,3,snowy,residential,low,0,NONE,NONE
2024-01-03T07:00:00Z,MAT005,Béton prêt à l'emploi,SITE005,Chantier Centre,9,8,-11.11,7,3,sunny,commercial,medium,0,NONE,NONE
2024-01-03T08:00:00Z,MAT001,Ciment Portland,SITE003,Chantier Est,37,35,-5.41,8,3,stormy,industrial,high,0,NONE,NONE
2024-01-03T09:00:00Z,MAT009,Isolant thermique,SITE003,Chantier Est,17,16,-5.88,9,3,cloudy,industrial,high,0,NONE,NONE
2024-01-03T10:00:00Z,MAT004,Acier de construction,SITE001,Chantier Nord,19,18,-5.26,10,3,rainy,residential,high,0,NONE,NONE
2024-01-03T11:00:00Z,MAT007,Parpaings,SITE001,Chantier Nord,36,93,158.33,11,3,rainy,residential,high,1,THEFT,HIGH
2024-01-03T12:00:00Z,MAT004,Acier de construction,SITE003,Chantier Est,8,8,0.0,12,3,cloudy,industrial,medium,0,NONE,NONE
2024-01-03T13:00:00Z,MAT001,Ciment Portland,SITE003,Chantier Est,27,61,125.93,13,3,windy,industrial,high,1,THEFT,HIGH
2024-01-03T14:00:00Z,MAT009,Isolant thermique,SITE001,Chantier Nord,24,25,4.17,14,3,stormy,residential,high,0,NONE,NONE
2024-01-03T15:00:00Z,MAT002,Sable de construction,SITE002,Chantier Sud,49,50,2.04,15,3,windy,commercial,high,0,NONE,NONE
2024-01-03T16:00:00Z,MAT007,Parpaings,SITE005,Chantier Centre,28,28,0.0,16,3,sunny,commercial,high,0,NONE,NONE
2024-01-03T17:00:00Z,MAT004,Acier de construction,SITE001,Chantier Nord,5,5,0.0,17,3,rainy,residential,medium,0,NONE,NONE
2024-01-03T18:00:00Z,MAT006,Gravier,SITE001,Chantier Nord,0,0,0,18,3,stormy,residential,low,0,NONE,NONE
2024-01-03T19:00:00Z,MAT006,Gravier,SITE005,Chantier Centre,0,0,0,19,3,stormy,commercial,low,0,NONE,NONE
2024-01-03T20:00:00Z,MAT004,Acier de construction,SITE003,Chantier Est,0,0,0,20,3,sunny,industrial,low,0,NONE,NONE
2024-01-03T21:00:00Z,MAT004,Acier de construction,SITE002,Chantier Sud,0,0,0,21,3,cloudy,commercial,low,0,NONE,NONE
2024-01-03T22:00:00Z,MAT007,Parpaings,SITE002,Chantier Sud,0,0,0,22,3,cloudy,commercial,low,0,NONE,NONE
2024-01-03T23:00:00Z,MAT001,Ciment Portland,SITE005,Chantier Centre,0,0,0,23,3,windy,commercial,low,0,NONE,NONE
2024-01-04T00:00:00Z,MAT005,Béton prêt à l'emploi,SITE002,Chantier Sud,0,0,0,0,4,windy,commercial,low,1,THEFT,MEDIUM
2024-01-04T01:00:00Z,MAT009,Isolant thermique,SITE003,Chantier Est,0,0,0,1,4,sunny,industrial,low,0,NONE,NONE
2024-01-04T02:00:00Z,MAT006,Gravier,SITE005,Chantier Centre,0,0,0,2,4,stormy,commercial,low,0,NONE,NONE
2024-01-04T03:00:00Z,MAT003,Briques rouges,SITE001,Chantier Nord,0,0,0,3,4,cloudy,residential,low,0,NONE,NONE
2024-01-04T04:00:00Z,MAT002,Sable de construction,SITE003,Chantier Est,0,0,0,4,4,stormy,industrial,low,0,NONE,NONE
2024-01-04T05:00:00Z,MAT004,Acier de construction,SITE001,Chantier Nord,0,0,0,5,4,windy,residential,low,0,NONE,NONE
2024-01-04T06:00:00Z,MAT004,Acier de construction,SITE003,Chantier Est,0,0,0,6,4,cloudy,industrial,low,0,NONE,NONE
2024-01-04T07:00:00Z,MAT005,Béton prêt à l'emploi,SITE001,Chantier Nord,12,11,-8.33,7,4,snowy,residential,medium,0,NONE,NONE
2024-01-04T08:00:00Z,MAT004,Acier de construction,SITE004,Chantier Ouest,19,20,5.26,8,4,rainy,residential,high,0,NONE,NONE
2024-01-04T09:00:00Z,MAT005,Béton prêt à l'emploi,SITE002,Chantier Sud,33,35,6.06,9,4,cloudy,commercial,high,0,NONE,NONE
2024-01-04T10:00:00Z,MAT005,Béton prêt à l'emploi,SITE005,Chantier Centre,39,42,7.69,10,4,rainy,commercial,high,0,NONE,NONE
2024-01-04T11:00:00Z,MAT005,Béton prêt à l'emploi,SITE001,Chantier Nord,33,94,184.85,11,4,cloudy,residential,high,1,THEFT,HIGH
2024-01-04T12:00:00Z,MAT009,Isolant thermique,SITE002,Chantier Sud,10,24,140.0,12,4,rainy,commercial,medium,1,THEFT,HIGH
2024-01-04T13:00:00Z,MAT009,Isolant thermique,SITE004,Chantier Ouest,17,17,0.0,13,4,cloudy,residential,high,0,NONE,NONE
2024-01-04T14:00:00Z,MAT005,Béton prêt à l'emploi,SITE001,Chantier Nord,45,48,6.67,14,4,stormy,residential,high,0,NONE,NONE
2024-01-04T15:00:00Z,MAT009,Isolant thermique,SITE003,Chantier Est,22,20,-9.09,15,4,snowy,industrial,high,0,NONE,NONE
2024-01-04T16:00:00Z,MAT005,Béton prêt à l'emploi,SITE005,Chantier Centre,39,37,-5.13,16,4,rainy,commercial,high,0,NONE,NONE
2024-01-04T17:00:00Z,MAT002,Sable de construction,SITE005,Chantier Centre,17,16,-5.88,17,4,rainy,commercial,medium,0,NONE,NONE
2024-01-04T18:00:00Z,MAT002,Sable de construction,SITE002,Chantier Sud,0,0,0,18,4,snowy,commercial,low,0,NONE,NONE
2024-01-04T19:00:00Z,MAT010,Plâtre,SITE002,Chantier Sud,0,0,0,19,4,rainy,commercial,low,0,NONE,NONE
