hour,stock,consumption,project
2026-04-01 08:00,100,8,chantier_A
2026-04-01 09:00,92,8,chantier_A
2026-04-01 10:00,84,8,chantier_A
2026-04-01 11:00,76,8,chantier_A
2026-04-01 12:00,68,8,chantier_A
2026-04-01 13:00,60,8,chantier_A
2026-04-01 14:00,52,8,chantier_A
2026-04-01 15:00,44,8,chantier_A
2026-04-01 16:00,36,8,chantier_A
2026-04-01 17:00,28,8,chantier_A
2026-04-01 18:00,20,8,chantier_A
2026-04-01 19:00,12,8,chantier_A
2026-04-01 20:00,4,8,chantier_A
2026-04-01 21:00,0,0,ARRET
2026-04-02 08:00,150,10,chantier_B
2026-04-02 09:00,140,10,chantier_B
2026-04-02 10:00,130,10,chantier_B
2026-04-02 11:00,120,10,chantier_B
2026-04-02 12:00,110,10,chantier_B
2026-04-02 13:00,100,10,chantier_B
2026-04-02 14:00,90,10,chantier_B
2026-04-02 15:00,80,10,chantier_B
2026-04-02 16:00,70,10,chantier_B
2026-04-02 17:00,60,10,chantier_B
2026-04-02 18:00,50,10,chantier_B
2026-04-02 19:00,40,10,chantier_B
2026-04-02 20:00,30,10,chantier_B
2026-04-02 21:00,20,10,chantier_B
2026-04-02 22:00,10,10,chantier_B
2026-04-02 23:00,0,0,ARRET
2026-04-03 08:00,200,12,chantier_C
2026-04-03 09:00,188,12,chantier_C
2026-04-03 10:00,176,12,chantier_C
2026-04-03 11:00,164,12,chantier_C
2026-04-03 12:00,152,12,chantier_C
2026-04-03 13:00,140,12,chantier_C
2026-04-03 14:00,128,12,chantier_C
2026-04-03 15:00,116,12,chantier_C
2026-04-03 16:00,104,12,chantier_C
2026-04-03 17:00,92,12,chantier_C
2026-04-03 18:00,80,12,chantier_C
2026-04-03 19:00,68,12,chantier_C
2026-04-03 20:00,56,12,chantier_C
2026-04-03 21:00,44,12,chantier_C
2026-04-03 22:00,32,12,chantier_C
2026-04-03 23:00,20,12,chantier_C
2026-04-04 00:00,8,12,chantier_C
2026-04-04 01:00,0,0,ARRET
